epoch,train_loss,train_acc,val_loss,val_s2t_acc,val_t2s_acc,val_acc,val_pos_sim,temperature
77,4.7811,0.3555,3.9269,0.5741,0.3148,0.4444,0.8751,0.0767
78,4.7818,0.4355,3.927,0.5556,0.3148,0.4352,0.8744,0.0767
79,4.7833,0.3906,3.927,0.5185,0.3519,0.4352,0.8752,0.0768
80,4.7816,0.4141,3.9269,0.537,0.2963,0.4167,0.8744,0.0769
81,4.7833,0.4316,3.9269,0.5185,0.3148,0.4167,0.8724,0.077
82,4.7813,0.459,3.9272,0.5556,0.2778,0.4167,0.8664,0.0771
83,4.7815,0.4219,3.9279,0.5185,0.2593,0.3889,0.8554,0.0772
84,4.7821,0.459,3.9273,0.537,0.2593,0.3981,0.8639,0.0773
85,4.7816,0.4473,3.927,0.5556,0.2963,0.4259,0.8688,0.0774
86,4.7823,0.4355,3.9272,0.537,0.2963,0.4167,0.8672,0.0775
87,4.7805,0.4277,3.9275,0.5,0.2963,0.3981,0.8597,0.0776
88,4.7807,0.4375,3.9285,0.463,0.2778,0.3704,0.844,0.0776
89,4.7817,0.4297,3.9279,0.5185,0.2593,0.3889,0.8543,0.0777
90,4.7815,0.4062,3.9272,0.5926,0.3148,0.4537,0.8648,0.0778
91,4.78,0.4512,3.9267,0.6296,0.2778,0.4537,0.8699,0.0779
92,4.7839,0.3945,3.9261,0.6111,0.2963,0.4537,0.8776,0.078
93,4.7808,0.4141,3.9261,0.5556,0.3519,0.4537,0.8766,0.0781
94,4.7804,0.4629,3.9263,0.5926,0.3519,0.4722,0.8723,0.0782
95,4.7807,0.459,3.9268,0.5556,0.3333,0.4444,0.8658,0.0783
96,4.7799,0.459,3.9264,0.5556,0.3704,0.463,0.8709,0.0784
97,4.7784,0.4551,3.9258,0.5926,0.3519,0.4722,0.8785,0.0785
98,4.7785,0.457,3.9254,0.6111,0.3704,0.4907,0.8836,0.0786
99,4.78,0.4238,3.9261,0.5741,0.3333,0.4537,0.8761,0.0786
100,4.7834,0.4121,3.9272,0.5741,0.2963,0.4352,0.8626,0.0787
101,4.7813,0.4688,3.9265,0.6111,0.3889,0.5,0.872,0.0788
102,4.7805,0.4297,3.926,0.6111,0.3704,0.4907,0.8761,0.0789
103,4.7802,0.4023,3.9258,0.6111,0.3889,0.5,0.8746,0.079
104,4.7789,0.4629,3.9257,0.5556,0.3148,0.4352,0.8711,0.0791
105,4.7798,0.4707,3.9263,0.5556,0.3148,0.4352,0.8648,0.0792
106,4.7822,0.3867,3.9257,0.6111,0.3704,0.4907,0.8719,0.0793
107,4.7777,0.4355,3.9254,0.5926,0.4444,0.5185,0.8729,0.0794
108,4.7784,0.4883,3.9255,0.5741,0.3889,0.4815,0.8703,0.0795
109,4.7795,0.4648,3.9257,0.5741,0.4074,0.4907,0.8689,0.0796
110,4.7795,0.4941,3.9256,0.537,0.4074,0.4722,0.8717,0.0796
111,4.7794,0.4531,3.9256,0.537,0.3889,0.463,0.8716,0.0797
112,4.7781,0.4648,3.9256,0.537,0.4074,0.4722,0.8682,0.0798
113,4.7775,0.502,3.9262,0.537,0.2963,0.4167,0.8571,0.0799
114,4.7787,0.3965,3.9278,0.4815,0.2963,0.3889,0.8306,0.08
115,4.7788,0.375,3.9275,0.6296,0.2963,0.463,0.8341,0.0801
116,4.779,0.459,3.9254,0.5926,0.3519,0.4722,0.8649,0.0802
117,4.7787,0.4824,3.9242,0.5741,0.3148,0.4444,0.8792,0.0803
118,4.778,0.4531,3.9241,0.5741,0.3519,0.463,0.881,0.0804
119,4.7792,0.4512,3.9243,0.5185,0.3519,0.4352,0.8736,0.0805
120,4.7787,0.4746,3.9251,0.5,0.2778,0.3889,0.8604,0.0806
121,4.7773,0.4453,3.925,0.5,0.2963,0.3981,0.861,0.0807
122,4.7789,0.5039,3.9245,0.5741,0.3333,0.4537,0.8699,0.0808
123,4.7769,0.543,3.9239,0.6296,0.4074,0.5185,0.8768,0.0809
124,4.777,0.4902,3.9238,0.6111,0.3519,0.4815,0.8773,0.0809
125,4.7771,0.5254,3.9246,0.6111,0.3704,0.4907,0.8698,0.081
126,4.7775,0.5078,3.9246,0.5926,0.3889,0.4907,0.8708,0.0811
127,4.7762,0.498,3.9243,0.5556,0.3889,0.4722,0.8721,0.0812
128,4.7786,0.4805,3.9242,0.5556,0.3889,0.4722,0.8737,0.0813
129,4.7776,0.5332,3.9239,0.6111,0.4259,0.5185,0.8767,0.0814
130,4.7775,0.4902,3.9238,0.6111,0.4444,0.5278,0.8794,0.0815
131,4.7764,0.5312,3.9235,0.5556,0.4259,0.4907,0.88,0.0816
132,4.7766,0.5195,3.9235,0.5556,0.4259,0.4907,0.8767,0.0817
133,4.7756,0.5215,3.9237,0.5926,0.3704,0.4815,0.8695,0.0818
134,4.7749,0.5137,3.9244,0.5556,0.3519,0.4537,0.8585,0.0819
135,4.7777,0.5059,3.9236,0.5741,0.3889,0.4815,0.869,0.082
136,4.776,0.5059,3.9228,0.5926,0.4074,0.5,0.8781,0.0821
137,4.7759,0.5059,3.9225,0.5741,0.3889,0.4815,0.882,0.0822
138,4.776,0.4961,3.923,0.5556,0.3704,0.463,0.879,0.0823
139,4.7757,0.4863,3.9235,0.5741,0.3519,0.463,0.8731,0.0824
140,4.7751,0.5195,3.9248,0.5926,0.2593,0.4259,0.8542,0.0825
141,4.7753,0.5312,3.9282,0.5741,0.2963,0.4352,0.8,0.0826
142,4.7763,0.4883,3.9272,0.6111,0.3148,0.463,0.8162,0.0826
143,4.777,0.5059,3.924,0.6296,0.3889,0.5093,0.8682,0.0827
144,4.7765,0.4883,3.9239,0.6111,0.4074,0.5093,0.8741,0.0828
145,4.7762,0.4727,3.925,0.5556,0.3333,0.4444,0.8561,0.0829
146,4.7756,0.4727,3.9266,0.537,0.3333,0.4352,0.8273,0.083
147,4.776,0.4609,3.9282,0.537,0.2963,0.4167,0.7974,0.0831
148,4.7765,0.4805,3.9256,0.5926,0.4074,0.5,0.834,0.0832
149,4.776,0.5234,3.924,0.6296,0.3704,0.5,0.8625,0.0833
150,4.7766,0.4492,3.9237,0.5556,0.3148,0.4352,0.868,0.0834
151,4.7762,0.3926,3.9232,0.5556,0.3333,0.4444,0.8729,0.0835
152,4.7757,0.4062,3.9228,0.5556,0.4259,0.4907,0.8704,0.0836
153,4.7754,0.4805,3.9251,0.5926,0.3333,0.463,0.8295,0.0837
154,4.7748,0.5254,3.9282,0.5741,0.3148,0.4444,0.7838,0.0838
155,4.7755,0.541,3.9247,0.537,0.3333,0.4352,0.8361,0.0839
156,4.776,0.4629,3.9226,0.5741,0.3889,0.4815,0.8673,0.084
157,4.7738,0.4824,3.9226,0.4815,0.4074,0.4444,0.8707,0.0841
158,4.7753,0.4551,3.9234,0.5,0.3704,0.4352,0.8649,0.0842
159,4.775,0.4492,3.9237,0.5,0.3704,0.4352,0.8645,0.0843
160,4.7742,0.4902,3.9243,0.5926,0.3519,0.4722,0.8618,0.0844
